Start,Year,Month,Day,Value
2024-12-27,2024,12,27,-0.007924889242879374
2024-12-26,2024,12,26,0.014482367365770799
2024-12-25,2024,12,25,0.03693405002472616
2024-12-24,2024,12,24,-0.00635690156188673
2024-12-23,2024,12,23,-0.041936372923483844
2024-12-22,2024,12,22,0.004095644930540487
2024-12-21,2024,12,21,0.021999547248428897
2024-12-20,2024,12,20,0.004496982331113841
2024-12-19,2024,12,19,0.001874559329641201
2024-12-18,2024,12,18,0.025155750868099958
2024-12-17,2024,12,17,0.0550861085072345
2024-12-16,2024,12,16,-0.0003961105766148165
2024-12-15,2024,12,15,-0.013189132986386909
2024-12-14,2024,12,14,-0.0316262977652606
2024-12-13,2024,12,13,6.905566382542361e-05
2024-12-12,2024,12,12,-0.013206952236126668
2024-12-11,2024,12,11,0.010272819873499373
2024-12-10,2024,12,10,-0.044984264053820056
2024-12-09,2024,12,9,0.008187813829994894
2024-12-08,2024,12,8,0.03819049560280874
2024-12-07,2024,12,7,-0.015081390546654916
2024-12-06,2024,12,6,0.0009873760736258674
2024-12-05,2024,12,5,-0.02829847937836938
2024-12-04,2024,12,4,0.017544405558252762
2024-12-03,2024,12,3,-0.028353545809521208
2024-12-02,2024,12,2,-0.0017033193391267076
2024-12-01,2024,12,1,0.0148020847671404
2024-11-30,2024,11,30,-0.00826441895612362
2024-11-29,2024,11,29,0.00977916593159911
2024-11-28,2024,11,28,-0.018151039729987772
2024-11-27,2024,11,27,0.002796716249937603
2024-11-26,2024,11,26,-0.04158964335310422
2024-11-25,2024,11,25,0.011740914409253733
2024-11-24,2024,11,24,0.050158321215961976
2024-11-23,2024,11,23,-0.0024495719259380877
2024-11-22,2024,11,22,0.012454080465987616
2024-11-21,2024,11,21,-0.004314337242414368
2024-11-20,2024,11,20,-0.04415261140420235
2024-11-19,2024,11,19,-0.02206535262909881
2024-11-18,2024,11,18,-0.01719142605862345
2024-11-17,2024,11,17,-0.008715458993878045
2024-11-16,2024,11,16,0.008652839238408205
2024-11-15,2024,11,15,0.004476969504114692
2024-11-14,2024,11,14,-0.04041540200895355
2024-11-13,2024,11,13,0.03324383865503222
2024-11-12,2024,11,12,-0.02393023179534204
2024-11-11,2024,11,11,0.005240158999168187
2024-11-10,2024,11,10,-0.09730943563862127
2024-11-09,2024,11,9,-0.048332371773794236
2024-11-08,2024,11,8,-0.0009298726446864691
2024-11-07,2024,11,7,-0.008204863307437193
2024-11-06,2024,11,6,-0.004643842847828594
2024-11-05,2024,11,5,-0.08588212899066505
2024-11-04,2024,11,4,-0.022687329192709882
2024-11-03,2024,11,3,0.01522348248107619
2024-11-02,2024,11,2,0.007051640617175892
2024-11-01,2024,11,1,0.003053615171241475
2024-10-31,2024,10,31,0.01155426622801059
2024-10-30,2024,10,30,0.028310956542185295
2024-10-29,2024,10,29,0.005828212587232429
2024-10-28,2024,10,28,-0.040522306380676554
2024-10-27,2024,10,27,-0.02701854925351377
2024-10-26,2024,10,26,-0.013725083888077805
2024-10-25,2024,10,25,-0.0069420147112388975
2024-10-24,2024,10,24,0.023671723010998846
2024-10-23,2024,10,23,-0.022056228550717094
2024-10-22,2024,10,22,0.009668366234352632
2024-10-21,2024,10,21,0.0006830620102427076
2024-10-20,2024,10,20,0.0226901907439796
2024-10-19,2024,10,19,-0.008643411228064224
2024-10-18,2024,10,18,0.0010412151869658715
2024-10-17,2024,10,17,-0.016221049693287526
2024-10-16,2024,10,16,0.004351326770485997
2024-10-15,2024,10,15,-0.01000279653383096
2024-10-14,2024,10,14,-0.013497911891306558
2024-10-13,2024,10,13,-0.05090044637566571
2024-10-12,2024,10,12,0.006502042627525739
2024-10-11,2024,10,11,-0.012822773447183522
2024-10-10,2024,10,10,-0.03506642737563226
2024-10-09,2024,10,9,0.006417628270870779
2024-10-08,2024,10,8,0.025525225333359103
2024-10-07,2024,10,7,0.0013617450427698685
2024-10-06,2024,10,6,0.008354628821448884
2024-10-05,2024,10,5,-0.01183978627673099
2024-10-04,2024,10,4,0.00041902179155961505
2024-10-03,2024,10,3,-0.021712189840956242
2024-10-02,2024,10,2,-0.0017453023071318796
2024-10-01,2024,10,1,0.00358693147636302
2024-09-30,2024,9,30,0.03869057087844219
2024-09-29,2024,9,29,0.036888212667109954
2024-09-28,2024,9,28,0.00388686022777307
2024-09-27,2024,9,27,-0.0024531008123123144
2024-09-26,2024,9,26,-0.009478580306435447
2024-09-25,2024,9,25,-0.030810723081087232
2024-09-24,2024,9,24,0.01835343616428986
2024-09-23,2024,9,23,-0.01571181810050426
2024-09-22,2024,9,22,0.003833943215539648
2024-09-21,2024,9,21,-0.00293071049502025
2024-09-20,2024,9,20,-0.00455191807998645
2024-09-19,2024,9,19,-0.0023489569132539856
2024-09-18,2024,9,18,-0.024194142477197644
2024-09-17,2024,9,17,-0.018819695629682442
2024-09-16,2024,9,16,-0.03500319803449692
2024-09-15,2024,9,15,0.016502668572698553
2024-09-14,2024,9,14,0.013253759614057614
2024-09-13,2024,9,13,0.009746650330257012
2024-09-12,2024,9,12,-0.041448152091971835
2024-09-11,2024,9,11,-0.013024596039365122
2024-09-10,2024,9,10,0.004591109654827008
2024-09-09,2024,9,9,-0.01039622403750684
2024-09-08,2024,9,8,-0.03948483845916151
2024-09-07,2024,9,7,-0.011661937608229422
2024-09-06,2024,9,6,-0.004914218434574735
2024-09-05,2024,9,5,0.04083235003501606
2024-09-04,2024,9,4,0.03178445405898778
2024-09-03,2024,9,3,-0.00761792638188119
2024-09-02,2024,9,2,0.027148112381611966
2024-09-01,2024,9,1,-0.030680863429685346
2024-08-31,2024,8,31,0.02794337213562237
2024-08-30,2024,8,30,0.0032511632123917167
2024-08-29,2024,8,29,0.0032231040792929377
2024-08-28,2024,8,28,-0.005310375069210949
2024-08-27,2024,8,27,0.007903012086885042
2024-08-26,2024,8,26,0.054978541552914706
2024-08-25,2024,8,25,0.022227337230283695
2024-08-24,2024,8,24,-0.002664601367474262
2024-08-23,2024,8,23,-0.0019987835330042003
2024-08-22,2024,8,22,-0.05781244442789912
2024-08-21,2024,8,21,0.011917734070639341
2024-08-20,2024,8,20,-0.03418903964903919
2024-08-19,2024,8,19,0.008543391498063713
2024-08-18,2024,8,18,-0.017559461491940098
2024-08-17,2024,8,17,0.015161129290289566
2024-08-16,2024,8,16,-0.008754631242625877
2024-08-15,2024,8,15,-0.022354175970374257
2024-08-14,2024,8,14,0.0194439368851409
2024-08-13,2024,8,13,0.030750828993628687
2024-08-12,2024,8,12,-0.0203996781783502
2024-08-11,2024,8,11,-0.00883589228663162
2024-08-10,2024,8,10,0.03435691672016894
2024-08-09,2024,8,9,-0.00045134714413386234
2024-08-08,2024,8,8,0.016129597547299923
2024-08-07,2024,8,7,-0.11674547742340202
2024-08-06,2024,8,6,0.017259472194043113
2024-08-05,2024,8,5,-0.035935773506606594
2024-08-04,2024,8,4,0.07263754428315217
2024-08-03,2024,8,3,0.045199475687180524
2024-08-02,2024,8,2,0.01189441206065922
2024-08-01,2024,8,1,0.06184596944476972
2024-07-31,2024,7,31,-0.011437301196624006
2024-07-30,2024,7,30,0.024110095816205046
2024-07-29,2024,7,29,0.008507871373515385
2024-07-28,2024,7,28,0.021103091746144997
2024-07-27,2024,7,27,-0.0027726575756208405
2024-07-26,2024,7,26,-0.0019411597739988906
2024-07-25,2024,7,25,-0.03238251812804904
2024-07-24,2024,7,24,-0.0051537887388537484
2024-07-23,2024,7,23,0.007653019711012732
2024-07-22,2024,7,22,0.0250708024200339
2024-07-21,2024,7,21,0.0071358130114376195
2024-07-20,2024,7,20,-0.013153768937547383
2024-07-19,2024,7,19,-0.007986563907877553
2024-07-18,2024,7,18,-0.04107176427453929
2024-07-17,2024,7,17,0.002409933196723557
2024-07-16,2024,7,16,0.015454243239231502
2024-07-15,2024,7,15,-0.0046134225162504094
2024-07-14,2024,7,14,-0.061615924074287065
2024-07-13,2024,7,13,-0.029503087275985607
2024-07-12,2024,7,12,-0.021768773361010574
2024-07-11,2024,7,11,-0.00898672551929458
2024-07-10,2024,7,10,0.005864583391200995
2024-07-09,2024,7,9,0.004779318620917294
2024-07-08,2024,7,8,-0.022920522249970432
2024-07-07,2024,7,7,-0.014275804701100014
2024-07-06,2024,7,6,0.041274489358935185
2024-07-05,2024,7,5,-0.02683056725045141
2024-07-04,2024,7,4,0.007917932557505836
2024-07-03,2024,7,3,0.053705637326006084
2024-07-02,2024,7,2,0.02995093293270301
2024-07-01,2024,7,1,0.012189928293395269
2024-06-30,2024,6,30,-0.0006424396064907967
2024-06-29,2024,6,29,-0.03045714233512875
2024-06-28,2024,6,28,-0.008836057678635711
2024-06-27,2024,6,27,0.01995889931503747
2024-06-26,2024,6,26,-0.0144570705044611
2024-06-25,2024,6,25,0.01678912971327229
2024-06-24,2024,6,24,-0.023036753611123117
2024-06-23,2024,6,23,0.04702967110168643
2024-06-22,2024,6,22,0.015402391752859401
2024-06-21,2024,6,21,-0.00273443929749817
2024-06-20,2024,6,20,0.012153970442728479
2024-06-19,2024,6,19,0.0010626111191918142
2024-06-18,2024,6,18,0.0022892923114490316
2024-06-17,2024,6,17,0.021160746487627335
2024-06-16,2024,6,16,0.0025521186279107155
2024-06-15,2024,6,15,-0.00696966695308987
2024-06-14,2024,6,14,-0.0022018825910983253
2024-06-13,2024,6,13,0.010827816832099657
2024-06-12,2024,6,12,0.022196562305289547
2024-06-11,2024,6,11,-0.013644398916802913
2024-06-10,2024,6,10,0.0317747253195364
2024-06-09,2024,6,9,0.0019840984098458136
2024-06-08,2024,6,8,-0.004902941658109228
2024-06-07,2024,6,7,0.0008529664532748171
2024-06-06,2024,6,6,0.02008216810954444
2024-06-05,2024,6,5,0.004916050153816798
2024-06-04,2024,6,4,-0.007520341702072386
2024-06-03,2024,6,3,-0.02568578965983015
2024-06-02,2024,6,2,-0.01504133667585883
2024-06-01,2024,6,1,-0.0004946527578066906
2024-05-31,2024,5,31,-0.002538202966899661
2024-05-30,2024,5,30,0.011765595330844647
2024-05-29,2024,5,29,-0.010444701160349013
2024-05-28,2024,5,28,0.010758504824483595
2024-05-27,2024,5,27,0.015217243045810847
2024-05-26,2024,5,26,-0.012951306264941564
2024-05-25,2024,5,25,0.01033824992838639
2024-05-24,2024,5,24,-0.01059574960793519
2024-05-23,2024,5,23,-0.008954842714981481
2024-05-22,2024,5,22,0.01897293318667792
2024-05-21,2024,5,21,0.012623634945251538
2024-05-20,2024,5,20,0.01856675921747275
2024-05-19,2024,5,19,-0.07365302016412478
2024-05-18,2024,5,18,0.008517582009915259
2024-05-17,2024,5,17,0.0013360354714997413
2024-05-16,2024,5,16,-0.02652732964796556
2024-05-15,2024,5,15,0.015173953260147144
2024-05-14,2024,5,14,-0.0727016308416033
2024-05-13,2024,5,13,0.021121349517011723
2024-05-12,2024,5,12,-0.021970055616034045
2024-05-11,2024,5,11,-0.012518657907152786
2024-05-10,2024,5,10,0.0017047449399321124
2024-05-09,2024,5,9,0.035844104264747045
2024-05-08,2024,5,8,-0.030404643806136278
2024-05-07,2024,5,7,0.0187768541474167
2024-05-06,2024,5,6,0.013008233748120546
2024-05-05,2024,5,5,0.013248830751201979
2024-05-04,2024,5,4,-0.002501719369540467
2024-05-03,2024,5,3,-0.017052353753658878
2024-05-02,2024,5,2,-0.06014008532925885
2024-05-01,2024,5,1,-0.014795091091027501
2024-04-30,2024,4,30,0.041944351348394804
2024-04-29,2024,4,29,0.04907104143847185
2024-04-28,2024,4,28,-0.01196005152224977
2024-04-27,2024,4,27,0.00669944069960593
2024-04-26,2024,4,26,0.005076633175251644
2024-04-25,2024,4,25,0.010741053293152447
2024-04-24,2024,4,24,-0.003171146429387761
2024-04-23,2024,4,23,0.03207463817046552
2024-04-22,2024,4,22,0.006490445477306039
2024-04-21,2024,4,21,-0.0291864304938656
2024-04-20,2024,4,20,-0.0005992839291515395
2024-04-19,2024,4,19,-0.013849200043912546
2024-04-18,2024,4,18,-0.008603177711014709
